Id,SalePrice
2658,186070.7245936116
2718,175154.57680590384
2414,212840.50137912235
1989,107838.80521133392
625,167371.4745227122
333,89216.24505167374
1327,91283.23766977071
858,132981.3354102388
95,183527.73583322635
1568,172564.2586950952
2482,164040.65849614525
1364,117916.93298374725
2584,144562.51404272774
818,251817.28258718376
2673,153680.7069111695
2089,122979.50674765962
1297,169890.01152361045
790,115717.92463790323
2616,188142.3456103746
720,202757.56487200395
222,142929.47286951338
557,134073.95004980272
1148,193040.06781440263
2766,166345.13729537805
534,192198.33150779002
1452,112952.01006820328
630,112924.02380569074
2648,143602.5160874757
125,160643.48488407448
1904,45522.72246393509
1670,100031.93775342527
756,87102.38435349264
717,214075.78247811232
1032,153084.55140878045
852,204983.4643364801
1731,187338.61403338893
2639,138855.06175741358
2071,93825.57998485422
1267,118945.79965982225
1851,193576.78630092053
567,158412.54603620368
2439,215295.03673937105
1898,145055.11951954602
647,133216.95945297182
2256,209682.56965872244
979,85461.16333646665
1444,216329.61653980133
2485,129460.64698103842
157,106105.5698216021
88,124061.15597752936
2003,111231.03740335333
186,205699.4063855418
1425,238185.18469909372
2695,117533.53407765731
738,110357.56553029033
395,157365.92051912512
1353,173353.30315017086
1878,148890.3617225074
390,175548.9727523961
1456,232866.76016435807
1103,321741.72956307733
1387,137522.62063274797
2070,145623.48862890783
1199,191527.0142588032
2479,181878.982880946
501,325811.0949283235
2362,89723.84666387344
1718,229726.1108191089
2188,59478.683635326335
1483,154941.441716961
2557,75302.37446801289
437,373775.1992314983
2224,211582.32861836077
1628,190639.19913193033
397,128532.44527240502
587,190838.62080286705
971,158966.8381656393
2611,156599.24171016898
1887,84788.5929966572
2399,365511.2621522532
2148,199310.74725167587
304,131714.60243535033
1997,116696.37431133844
2817,102267.34880649162
1431,194901.71558240592
427,341023.8557098544
263,119348.74630317776
598,180927.8303864265
2895,240081.56639782785
687,147119.98627586872
1822,127967.3170750264
2191,95680.68006160205
179,154409.61451008474
1009,265991.9652230753
2010,110798.19901902991
1991,156291.39559421843
1411,153930.09958257843
1721,259288.36608670678
1144,193039.0563984077
593,224734.17378996138
575,290217.56117113173
1249,154851.88426055934
1604,127506.58392557921
1064,421391.8039669175
1923,156668.66055188054
1988,93234.01890993892
2325,173596.33553143186
114,201894.85582569972
2700,183062.48006454777
217,147238.61160751415
343,184420.67775536684
386,225527.40291429713
2005,105121.38689599825
2908,131373.250291967
1814,234423.4905869423
2446,455826.65378424746
208,142215.81460311334
1679,120068.47080207992
822,316570.19663123775
6,189903.9736243945
1781,356777.97817646235
2397,321626.78461048147
2340,328013.24917532195
1618,164041.6700833821
2843,132186.5476928548
1061,380915.5007341903
2786,113295.20562295621
1935,125169.28149090441
1341,101180.47395591562
521,262765.3648747115
2136,131676.51170615602
996,183799.09754276305
227,151668.09289496063
135,148180.9963985521
1167,164015.253282772
294,209574.0382866433
1776,195962.33448298753
540,194989.87710626918
1717,226566.93603842088
2303,124022.61916204012
116,176971.3756686119
127,136792.68522872284
1371,128140.93960176727
1014,169923.6862810875
1507,103801.23440032204
702,155273.54562809682
750,151364.90997249656
261,149398.09724701877
1559,99649.61317877515
577,215885.9761229409
2812,206022.21281807555
2080,168753.71390145252
1368,115198.55714135627
2376,128419.15638876036
659,106632.2834457666
1235,129483.91880790264
332,74582.15848426525
1917,141057.28506605455
2094,243050.8239494167
1460,252558.33385400946
1471,201875.07551145676
1509,118997.54268070187
1922,134668.84605753023
433,433943.1664984658
460,304909.72671575315
1116,230239.23227630032
1137,180855.84369083616
53,178896.9158380241
2354,242589.89867329423
1475,194789.13025396515
1761,473733.93882015557
842,136582.3861807843
2739,188188.69640334384
2509,168045.77100624074
1007,199235.40455611155
2610,174834.5644820783
1952,106184.64796318821
2719,181229.41129858856
2921,91618.15924654114
1966,132945.58987922728
292,119064.3110404914
1204,209134.0973814326
1829,249187.57930966205
2419,197031.80220350967
391,156502.34241413863
798,130590.36357025529
481,206703.88242111512
193,186493.81091496724
555,127743.5010069962
899,99739.50822227079
2357,187205.42912679925
328,120983.66811573021
1356,153014.3268731919
1154,101413.90972714635
1730,177933.21995166974
2249,145324.95804246527
1119,262551.34668261535
2856,132391.51694130368
1394,137253.68468385865
2587,126805.45871890493
61,308868.9223174921
2661,182272.0122410112
2711,127706.40162472257
1147,192985.38605881462
757,132555.5078654708
2623,83355.95187570764
2378,143396.57415382628
1413,158661.9206957558
1722,250694.24525386625
1112,210427.31980042736
1623,189086.03888310972
1201,196919.12303931342
1513,92521.03960108514
957,478078.17103001697
1171,277479.98293731525
1145,208894.52464779146
2726,231257.76560733162
703,142586.66662466727
760,82618.68866094935
1964,125981.33989715949
2512,192984.08912413716
159,154770.43018218837
1281,175847.31923485326
468,176184.20152862128
290,117146.64264279816
665,102475.95122050932
1463,252268.5775196305
1792,216806.70778707386
923,148547.3927312359
500,286586.6642541342
1408,175173.8365565364
331,68941.70671285539
170,117149.35177219994
2192,87897.88167994231
2571,285670.4336560472
2314,176455.04534334698
2647,88221.47660527378
422,401716.86115068
2457,340632.1118063693
1838,185057.47252854938
2805,242668.28906823607
1645,154617.66484845718
1711,329732.283970825
2825,232706.08067030017
322,304693.8527321341
2103,244173.90380878033
342,141496.28356604144
600,101045.50980683039
488,172758.00806081126
1725,321522.02588000137
2246,250009.7560558053
2847,145107.19962731557
806,242875.4418828998
530,224443.13336081072
963,186540.2019160321
2678,79010.7327091949
171,77942.7298828801
2401,405596.77868960216
805,225668.83608059544
2259,218063.41535523714
1748,196190.62930229414
1361,156172.43605054647
1677,144494.48564476255
1406,147103.98592107827
2322,231816.33007730456
688,169534.5025487008
143,139375.70488675474
804,214298.71801618428
1214,173270.99693002677
2828,151761.21041610686
1999,186311.57961466812
2467,195527.54412478756
2665,173502.1741403588
1538,297103.8613311018
398,111517.99318782764
2822,144564.16229164723
2157,154129.26383283117
1856,176154.27250908615
1269,111225.74974115606
2570,124847.56086414811
2320,236382.47216987336
1517,173807.9895095146
2304,113142.53362387579
1312,88020.34380916298
2012,135686.41403103582
506,278732.45111174707
2865,189071.54886837196
2367,129236.13411035633
554,110360.8175308343
238,139173.21251135855
1954,106323.70210468696
2488,169084.69644074672
2291,87974.41052301049
1969,106103.85387439912
2725,163275.56586106756
1482,154941.441716961
2763,208243.42039779856
503,277720.5569718692
1584,243578.9551352385
1531,150808.59888154347
2210,177360.4195720047
459,338443.12663326913
556,134876.5661092195
1347,141541.54364124898
1290,80701.56808378965
1388,104594.87726026139
1571,362859.03450738173
2754,194497.95011895124
765,143798.96770623082
2494,128449.17751360504
2870,186376.49896309886
7,271821.7069366351
1114,234220.34071271724
2418,257614.58109731687
291,133502.31898076943
18,381052.2260312605
39,366664.0065999308
1001,283543.7058793134
2442,224485.15782641948
616,119772.651815716
2680,60152.399414423184
1414,122294.19620842667
289,125101.14458271864
40,278061.7158211331
860,136199.37965269785
409,147276.5641801562
673,145982.3424640125
2427,175839.16501255287
2036,201647.67554067084
2564,134933.3167678644
642,164062.86817109399
1008,187543.9204416767
1908,164717.38973160728
2519,204554.72311033722
1369,94774.37407865537
2855,168947.3477457997
712,95354.48589950072
1943,100405.46272850565
1958,138492.39531389126
107,182107.85706266155
2295,219727.0240613295
704,101761.58229318942
676,130268.87765852557
259,184889.7146834837
93,306922.95684566925
106,239866.48727447272
2315,175440.98769704218
1050,112330.35291798353
1095,217484.22676923458
2709,151267.06023710835
758,161517.06466929615
1496,149487.51134389598
2370,140387.49508625653
2458,264066.167946366
2733,128675.68858020961
161,254893.72262635975
726,149963.57657657983
845,207315.45149413444
947,251195.92715178896
2232,137340.55960093727
2563,175123.16140597797
2299,162689.46108580977
211,131689.18469598412
605,169035.64730866477
1478,209854.51377159325
2247,250438.37505210377
2274,210977.57350152024
2869,194725.16608759903
967,219553.1830374034
2656,83035.41915893761
667,222196.07739142654
1042,141545.70232587145
2023,157864.16966335272
2447,390626.6136868897
2055,138390.88565657902
2275,242812.37460840566
2204,162282.71203203022
1563,240352.6223784075
483,251769.36892868148
796,143448.05948751207
1526,148311.50118575915
2042,175396.06336142434
442,356398.46762995585
1693,337039.34316248377
1468,223083.86650721869
1430,181946.5778978987
2605,173469.00182327355
1529,187470.85191331306
335,158721.58344566508
1287,118628.45262022053
31,118516.3559880841
1785,275377.2225705904
82,159212.15515069725
2620,134351.90029030817
252,188734.30171312558
721,53494.57479288528
2165,169362.24380898883
2316,181485.82349543413
775,130227.42612013195
1558,103875.15495643517
17,229755.7071740349
1022,241727.5644534529
925,109802.42359950331
438,285655.7174178898
